INDX_NR,INCIDENT_DATE ,INCIDENT_MONTH,INCIDENT_YEAR,TIME,TIME_OF_DAY,AIRPORT_ID,AIRPORT,AIRPORT_LATITUDE,AIRPORT_LONGITUDE,RUNWAY,STATE,FAAREGION,LOCATION,ENROUTE_STATE,OPID,OPERATOR,REG,FLT,AIRCRAFT,AMA,AMO,EMA,EMO,AC_CLASS,AC_MASS,TYPE_ENG,NUM_ENGS,ENG_1_POS,ENG_2_POS,ENG_3_POS,ENG_4_POS,PHASE_OF_FLIGHT,HEIGHT,SPEED,DISTANCE,SKY,PRECIPITATION,AOS,COST_REPAIRS,COST_OTHER,COST_REPAIRS_INFL_ADJ,COST_OTHER_INFL_ADJ,INGESTED_OTHER,INDICATED_DAMAGE,DAMAGE_LEVEL,STR_RAD,DAM_RAD,STR_WINDSHLD,DAM_WINDSHLD,STR_NOSE,DAM_NOSE,STR_ENG1,DAM_ENG1,ING_ENG1,STR_ENG2,DAM_ENG2,ING_ENG2,STR_ENG3,DAM_ENG3,ING_ENG3,STR_ENG4,DAM_ENG4,ING_ENG4,STR_PROP,DAM_PROP,STR_WING_ROT,DAM_WING_ROT,STR_FUSE,DAM_FUSE,STR_LG,DAM_LG,STR_TAIL,DAM_TAIL,STR_LGHTS,DAM_LGHTS,STR_OTHER,DAM_OTHER,OTHER_SPECIFY,EFFECT,EFFECT_OTHER,SPECIES_ID,SPECIES,OUT_OF_RANGE_SPECIES,REMARKS,REMAINS_COLLECTED,REMAINS_SENT,BIRD_BAND_NUMBER,WARNED,NUM_SEEN,NUM_STRUCK,SIZE,NR_INJURIES,NR_FATALITIES,COMMENTS,REPORTER_NAME,REPORTER_TITLE,SOURCE,PERSON,LUPDATE,IMAGE,TRANSFER
1824532,2026-01-16,1,2026,     ,,KSEA,SEATTLE-TACOMA INTL,47.44898,-122.30931, 34R,WA,ANM,,,UNK,UNKNOWN, , ,UNKNOWN,,,,,,,,,,,,,,,,0,,,,,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,K3302,Red-tailed hawk,FALSE,Hawk remains found on RWY 34R while performing 139 inspection. Remains found at 0130 on RWY 34R just south of TWY S on east shoulder. There was a band located on the foot # 2187-17518. A thorough inspection was conducted on the runway and no other bird remains were found. Red-Tailed Hawk (unk age). ONE PHOTO. ASSUME 1 STRUCK. 01:30  BIRD BAND NUMBER    218717518,TRUE,FALSE,218717518,Yes, , 1,Medium,,, BIRD BAND NUMBER    XXXXXXXXX,REDACTED,REDACTED,FAA Form 5200-7-E,Carcass Found,2026-03-30,TRUE,FALSE
1826645,2026-01-09,1,2026,     ,,KPSC,TRI-CITIES,46.26468,-119.11903, 12/30,WA,ANM,,,UNK,UNKNOWN, , ,UNKNOWN,,,,,,,,,,,,,,,,0,,,,,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,ZT002,Western meadowlark,FALSE,Feathers found on runway 30 after red-tailed hawk was having  a picnic. 09:30. Smithsonian Wildlife/Species Identification: Western meadowlark (Sturnella neglecta),TRUE,TRUE,,Unknown, , 1,Small,,,,REDACTED,REDACTED,FAA Form 5200-7-E,Carcass Found,2026-04-07,FALSE,FALSE
1825433,2026-01-05,1,2026,     ,,KPAE,SNOHOMISH CO (PAINE FIELD),47.90763,-122.28159, 16R/34L,WA,ANM,,,UNK,UNKNOWN, , ,UNKNOWN,,,,,,,,,,,,,,,,0,,,,,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,O2205,Mourning dove,FALSE,Upon inspection of Rwy 16R/34L bird was found a few feet from the centerline adjacent to A9. 05:46,TRUE,FALSE,,Unknown, , 1,Small,,,,REDACTED,REDACTED,FAA Form 5200-7-E,Carcass Found,2026-04-01,FALSE,FALSE
1801272,2025-12-29,12,2025,     ,,KSEA,SEATTLE-TACOMA INTL,47.44898,-122.30931, 34L,WA,ANM,,,UNK,UNKNOWN, , ,UNKNOWN,,,,,,,,,,,,,,,,0,,,,,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,K3302,Red-tailed hawk,FALSE,"Found during routine RWY inspection, west shoulder RWY 34L between TWYs N and P. No apparent PIREP of strike age ASY. 15:27",TRUE,FALSE,,Yes, , 1,Medium,,,REMOVED X FOR OTHER REPAIR COSTS,REDACTED,REDACTED,FAA Form 5200-7-E,Carcass Found,2026-01-26,FALSE,FALSE
1805993,2025-12-22,12,2025,07:47,Day,KTIW,TACOMA NARROWS ARPT,47.26793,-122.5781, 17/35,WA,ANM,,,BUS,BUSINESS, N766GD, ,GULFSTREAM G600,421,10,09,03,A  ,4,D,2,5,5,,,Take-off Run,0,120,0,No Cloud, None,,,,,,FALSE,TRUE,M?,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,, Precautionary Landing,,NE1,Gulls,FALSE,"Seagull struck the right outboard leading edge.  Other seagull ingested into right engine.Seagull.  Collected by ops.MESOS ONE LLC. 3 PHOTOS. MOR: Departed runway 17 prior to the tower opening, as the aircraft passed approximately 1500-2000 feet airborne and had a bird strike (2 seagulls).  returned for landing after the tower opened, landed with out incident, Pilot reported no structural damage. Unknown internal engine damage. MOR: N766GD departed TIW on the NARROWS1 departure. TIW Tower called the N sector and advised it appeared that N766GD hit a large bird. This information was relayed to the flight crew, and they requested to return to TIW as a precaution.",TRUE,FALSE,,No, 2-10, 2-10,Medium,,,,REDACTED,REDACTED,Multiple,Pilot,2026-02-11,TRUE,FALSE
1806553,2025-12-19,12,2025,     ,,KSEA,SEATTLE-TACOMA INTL,47.44898,-122.30931, 16R,WA,ANM,,,UNK,UNKNOWN, , ,UNKNOWN,,,,,,,,,,,,,,,,0,,,,,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,J2204,Canada goose,FALSE,AOS found goose carcass abeam TWY E on upper perimeter road.  Carcass was scavenged.   No reported strike. 09:45. Smithsonian Wildlife/Species Identification: Canada goose (Branta canadensis),TRUE,TRUE,,Yes, , 1,Large,,,SI ID,REDACTED,REDACTED,FAA Form 5200-7-E,Carcass Found,2026-02-13,FALSE,FALSE
1805912,2025-12-14,12,2025,09:46,,KALW,WALLA WALLA REGIONAL,46.09456,-118.28804, ,WA,ANM,,,PVT,PRIVATELY OWNED, N2256H, ,ERCOUPE 415,334,01,13,34,A  ,1,A,1,7,,,,Approach,,,,,,,,,,,FALSE,FALSE,N,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,UNKB,Unknown bird,FALSE,"AC HAD MADE MULTIPLE LAPS IN THE PATTERN THEN FULL-STOPPED AND TAXIIED INTO RAMP. PILOT THEN WANTED TO TAXI BACK OUT FOR DEPARTURE AND REPORTED SOMETHING DIDNT FEEL RIGHT, THEN MENTIONED HITTING BIRD IN THE DOWNWIND. PILOT ADVISED NO DAMAGE TO AIRCRAFT BUT PULLED WING OUT OF LANDING GEAR. AC WENT BACK OUT FOR DEPARTURE. PORT NOTIFIED.  KOBERSTEIN TRACY T. ASSUME 1 STRUCK. ",FALSE,FALSE,,Unknown, , 1,,,,,REDACTED,REDACTED,MOR,Tower,2026-02-11,FALSE,FALSE
1788496,2025-12-09,12,2025,     ,,KBFI,BOEING FIELD/KING COUNTY INTL ARPT,47.52999,-122.30196, 14R/32L,WA,ANM,,,UNK,UNKNOWN, , ,UNKNOWN,,,,,,,,,,,,,,,,0,,,,,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,J2109,Mallard,FALSE,Found 5 carcasses and several bird remains along centerline of RWY 14R/32L south of TWY B5. No pilot report of a bird strike. Removed remains. 02:42.,TRUE,FALSE,,Yes, , 2-10,Medium,,,,REDACTED,REDACTED,FAA Form 5200-7-E,Carcass Found,2026-01-13,FALSE,FALSE
1800430,2025-12-07,12,2025,     ,,KSEA,SEATTLE-TACOMA INTL,47.44898,-122.30931, 16R,WA,ANM,,,UNK,UNKNOWN, , ,UNKNOWN,,,,,,,,,,,,,,,,0,,,,,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,K3201,Bald eagle,FALSE,"Injured adult bald eagle lying on its back in the grass, east side 16R at Twy Zulu.  Eagle was gone when AOS came back to look for it.  Unknown aircraft/operator. 15:21.",TRUE,FALSE,,Yes, , 1,Large,,,REMOVED X FOR OTHER COSTS,REDACTED,REDACTED,FAA Form 5200-7-E,Carcass Found,2026-01-21,FALSE,FALSE
1800431,2025-12-03,12,2025,     ,,KSEA,SEATTLE-TACOMA INTL,47.44898,-122.30931, 16R,WA,ANM,,,UNK,UNKNOWN, , ,UNKNOWN,,,,,,,,,,,,,,,,0,,,,,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,ZT002,Western meadowlark,FALSE,"During AMA inspection, Ops 3 found remains on RWY 16R/34L abeam TWY N on the south side of it. Unclear who actually hit it at this time.  WEME. 07:31.TWO PHOTOS",TRUE,FALSE,,Yes, , 1,Small,,,REMOVED X FOR OTHER COSTS,REDACTED,REDACTED,FAA Form 5200-7-E,Carcass Found,2026-01-21,TRUE,FALSE
